characteristic,overnight_ann,overnight_t,intraday_ann,intraday_t,session_ratio,classification,n_months
Mom12m,2.4138354680503213,24.07511187403192,0.6411838630849239,17.233375281873315,0.7901211764684121,OVERNIGHT,396
Mom6m,2.1466640811751985,22.725354660807636,0.5980356655851324,16.698304583362063,0.7821125366113304,OVERNIGHT,396
MomVol,2.046512927620565,18.99300935074409,0.4667527045060202,11.398933563927432,0.8142843722766065,OVERNIGHT,396
Mom12mOffSeason,1.9887900621170767,21.200143727338805,0.5164318915581609,15.08407630521461,0.7938578293230507,OVERNIGHT,396
IO_ShortInterest,1.8372067088108839,9.740094623318688,0.8878839800025086,10.935426100174112,0.6741818598377998,OVERNIGHT,396
IntanSP,1.8152747373640246,29.424100727184946,0.4160958580346219,16.29077875362371,0.8135245400774478,OVERNIGHT,396
roaq,1.754453765574244,24.557734894004334,0.5218219233270963,17.58126103177952,0.7707562726819979,OVERNIGHT,396
Mom6mJunk,1.6582106368362455,18.538443366240713,0.5149946780130207,12.869799414621687,0.76302529977535,OVERNIGHT,396
FirmAgeMom,1.5628931167952549,19.5866119760528,0.22011962925810385,6.929102933580339,0.8765462390858777,OVERNIGHT,396
OperProfRD,1.5241522647918422,23.586619493259228,0.5614070610316666,19.37211133451152,0.7308122314813614,OVERNIGHT,396
IntMom,1.5175512077661095,19.80785470494251,0.3602729996617553,13.63240092464053,0.8081433830511555,OVERNIGHT,396
IntanBM,1.4668301081706159,25.453715641353362,0.3060098392902791,12.113310714556754,0.8273900361233659,OVERNIGHT,396
CBOperProf,1.3744101059526241,24.958866863905858,0.5841124244020538,23.643035827802983,0.7017586393063988,OVERNIGHT,396
AnnouncementReturn,1.305148896047485,48.44404367765494,0.5650462838453347,34.76768798303466,0.6978677466820777,OVERNIGHT,396
FEPS,1.2848241845867254,16.73364496460015,0.6366391969247434,16.201014545955584,0.6686696176203224,OVERNIGHT,395
ResidualMomentum,1.2281774514475816,21.674581509821717,0.20244521296574147,12.752672327299095,0.8584915379844333,OVERNIGHT,396
BrandInvest,1.116683564326297,19.06468438111202,0.14280612906516976,4.880649627547351,0.886615881166418,OVERNIGHT,396
RoE,1.0908623829218,21.087448274958163,0.37494293053376004,16.004937995248618,0.7442068690214723,OVERNIGHT,396
cfp,0.9911468744391947,14.73607119829387,0.4460160129280901,15.323005964452971,0.6896552110769159,OVERNIGHT,396
EarningsStreak,0.9911009058322309,26.50509548090293,0.1898272525726707,13.833077241514287,0.8392558842621948,OVERNIGHT,396
DelBreadth,0.9563482977358462,20.9321941064992,0.06552918578175093,3.021502038529358,0.9358737355126168,OVERNIGHT,396
NetPayoutYield,0.947093177822655,16.2804478916669,0.507501491020962,19.560312153872673,0.6511045297420079,OVERNIGHT,396
sfe,0.9181912329950446,12.283718468472065,0.5743600015023546,17.229578350644758,0.6151823882308709,OVERNIGHT,396
CF,0.9173463868503724,14.131245359565968,0.435278564274582,14.727727497103778,0.6781971499841338,OVERNIGHT,396
EntMult,0.9079226580634604,19.96369822242819,0.17025310527985335,9.402655017645092,0.842091511358115,OVERNIGHT,396
Tax,0.8703663970007274,20.91229735468172,0.4069069165206649,20.799798510993543,0.6814253361335496,OVERNIGHT,377
ProbInformedTrading,0.8455220838071875,7.232237579202781,0.7103103017326469,9.843695190338623,0.5434531969289307,MIXED,240
REV6,0.8439113447268123,22.735551834261166,0.12578365856630766,7.459756878235178,0.8702853390611052,OVERNIGHT,395
LRreversal,0.7801692278539201,15.460327381111727,0.2121715453514358,8.128583889687667,0.7861908418152553,OVERNIGHT,396
GP,0.7448996135756144,20.729083629465812,0.5329788946749647,26.39171905887475,0.5829189619875407,MIXED,396
PS,0.7291099314273953,13.635531852882911,0.3147566320975529,12.344207280642149,0.6984704337739521,OVERNIGHT,384
MRreversal,0.7284964263089782,14.231301092324026,0.17976457033450113,8.192306680375248,0.8020782891714723,OVERNIGHT,396
OptionVolume2,0.6811058687152325,19.70379243310388,0.22359544168217688,11.849310851444304,0.752851643838166,OVERNIGHT,330
FirmAge,0.6772855730665817,14.496194135798035,0.4621626690302919,19.28538324200341,0.5943978392736862,MIXED,396
ChTax,0.6615003971125083,20.90711966730561,0.005240443376113538,0.5723457234674191,0.9921402094218902,OVERNIGHT,396
EarningsSurprise,0.5863191683395111,24.460219915077527,0.0668225005429714,7.197360871890923,0.8976906485582158,OVERNIGHT,396
OptionVolume1,0.5627783543027822,12.21457648150675,0.03876142395597681,1.6187377478850888,0.9355629912485968,OVERNIGHT,331
IntanCFP,0.5538997606480289,12.10173222719668,0.08886495051229998,4.02965810749876,0.8617457539760085,OVERNIGHT,396
DelEqu,0.5440634366264099,14.263447682658972,0.036759776348385134,2.1508620213873906,0.9367109035465145,OVERNIGHT,396
EarningsConsistency,0.5423032924541044,17.754762405879273,0.12437690644974236,8.515196041603286,0.8134384272185637,OVERNIGHT,396
TotalAccruals,0.5419950574428691,16.340711922407365,0.13122159090879096,9.483143179358285,0.8050826710389872,OVERNIGHT,396
IntanEP,0.5234811988851908,12.558859568567538,0.060763776055613325,3.1379334145291593,0.8959960655857246,OVERNIGHT,396
AgeIPO,0.5229489303823244,7.946498958790841,0.4429060565655758,13.431304574234934,0.5414362792025766,MIXED,396
RevenueSurprise,0.5198283822379257,20.014290940421798,0.05410115635883263,5.280983944366438,0.9057355429185463,OVERNIGHT,396
DelDRC,0.5029809987593993,4.332772429413654,-0.02235736211683819,-0.40368971863431735,0.9574419768631645,OVERNIGHT,295
MomSeasonShort,0.4929854033495502,12.174732469010344,0.15826617312188282,8.193546362382582,0.756981512460377,OVERNIGHT,396
MomOffSeason,0.4792725722651625,13.40287529964899,0.08745398333771873,3.7345217756677336,0.8456857500797972,OVERNIGHT,396
IndRetBig,0.47400711405746004,9.871113688973455,0.3438487881532334,13.674618124235284,0.5795728963698887,MIXED,396
ChEQ,0.4734646914692031,13.233756881393475,0.013948943838746316,0.8693195032475165,0.9713817119007486,OVERNIGHT,396
retConglomerate,0.460039416207056,12.196278721808376,0.31220019512951724,16.445244124344956,0.5957210811950336,MIXED,396
NetDebtPrice,0.45849790613508623,8.183825189259178,-0.008510383473077367,-0.2941893392298469,0.9817768042614022,OVERNIGHT,396
ReturnSkew3F,0.4219135268841578,15.97823237432968,0.43436572166118415,34.14624727312719,0.49272889375856044,MIXED,396
IndMom,0.41375844224010216,9.18650550480031,0.045545666769924574,1.9880972219192683,0.9008376675138121,OVERNIGHT,396
OrderBacklog,0.3873122770313311,11.653009727036459,-0.002210801201492834,-0.15990596991076675,0.9943243383382502,OVERNIGHT,396
OrderBacklogChg,0.37598085340458354,10.341340400524103,0.0009015089682386799,0.060555458485939274,0.9976079831314927,OVERNIGHT,396
BookLeverage,0.3747205749262109,8.601100968696713,0.18823032768844072,9.047222275920419,0.6656363338006988,OVERNIGHT,396
ReturnSkew,0.36807348515064736,11.596429012992854,0.4746651255396648,30.351615371824202,0.4367587772549634,MIXED,396
CustomerMomentum,0.3500205507615369,9.057303384351046,0.2890046552130313,12.874458606179267,0.5477413840471684,MIXED,395
EarnSupBig,0.3048262917968859,8.257428937171063,0.06591783415584714,3.4323483172415625,0.8222012716008584,OVERNIGHT,396
RIVolSpread,0.2980697350146183,7.180906801852421,0.11553982009490721,4.829180537537848,0.7206548575399526,OVERNIGHT,324
DelNetFin,0.27898372711532043,15.540833646216633,0.10882987885890809,12.722513329783384,0.7193758104862876,OVERNIGHT,396
OperProf,0.2776956078050274,5.450293132345389,0.14471231202841933,6.108102867118114,0.6574109877355552,OVERNIGHT,396
ChInvIA,0.27658780096935653,11.532215300324482,0.0396031631466474,3.169712719761081,0.8747492254961535,OVERNIGHT,396
realestate,0.271688899008012,12.80210089384281,0.10487393215294413,9.6134784288691,0.7214968566344847,OVERNIGHT,396
NOA,0.2707905211649601,8.687237660042495,0.045041577047399556,2.936232852138293,0.8573875888412252,OVERNIGHT,396
Herf,0.26809757710961524,7.533696805032045,0.1570866682003404,9.904283923477978,0.630544475875804,OVERNIGHT,396
HerfAsset,0.2640972925108044,7.7019707409519516,0.14588078670838234,9.139417375408033,0.6441741788092283,OVERNIGHT,396
FR,0.2564621501022177,10.338475264291889,0.11472645617703978,7.582836638028539,0.6909213961952074,OVERNIGHT,396
ShortInterest,0.25433113353608255,6.957410344717139,-0.26755059553793287,-11.32920739844249,0.48733481048924066,MIXED,396
GrSaleToGrOverhead,0.24492019453136754,12.401527918905352,-0.024956095228086537,-2.7237555769932755,0.9075276481297027,OVERNIGHT,396
grcapx3y,0.23081652223937404,10.250651135586201,-0.01032221068311958,-0.8152851097132345,0.9571938918396934,OVERNIGHT,396
MomOffSeason06YrPlus,0.22166300558070254,8.69923837432995,0.02846129940207516,2.0909021255673546,0.8862113803613173,OVERNIGHT,396
iomom_supp,0.22040761175202156,6.895216690566629,0.11361358585434145,6.523238655764022,0.6598611505242471,OVERNIGHT,396
HerfBE,0.21805201061863014,6.556390154424549,0.12584568953362554,8.194612660446378,0.6340606829359161,OVERNIGHT,396
MomOffSeason11YrPlus,0.21501982845528755,11.08973533750756,0.021242158292790032,2.1909561133011364,0.9100906642445185,OVERNIGHT,396
iomom_cust,0.20135346563018855,5.289385426271641,0.1501105396170145,8.001913241468838,0.572899251769939,MIXED,396
hire,0.20115981475827502,7.918373918930215,-0.1100682423001674,-8.369597803595928,0.646342160342251,OVERNIGHT,396
PctTotAcc,0.19907208075507304,8.875047641474975,0.03593826222659752,3.9469870127189446,0.8470779550779155,OVERNIGHT,396
MomSeason,0.19587258264904278,6.422380632996988,0.09181617177448212,6.77954739784836,0.6808489370449506,OVERNIGHT,396
InvestPPEInv,0.17636679959753007,8.106495198778967,-0.11586206927096562,-8.99133640949047,0.6035228493352446,OVERNIGHT,396
VolumeTrend,0.16734908324799525,4.789417547889708,-0.3693073622970713,-23.37031686904286,0.3118365290069769,INTRADAY,396
AnalystValue,0.15343931985572867,2.616012155466331,0.2085895359492897,7.49563543752375,0.423831739916246,MIXED,396
dNoa,0.1531633985907389,7.031408761947434,-0.0684051016263203,-5.289627341691548,0.6912688330728087,OVERNIGHT,396
ChangeInRecommendation,0.1515916104694673,7.9824363886363665,0.09781167419259539,9.19299851556354,0.6078172173027769,OVERNIGHT,372
ChAssetTurnover,0.15139076624721598,9.068649964196574,-0.006877087441726337,-0.8598799263210188,0.9565477936205385,OVERNIGHT,396
MomOffSeason16YrPlus,0.1478855342851856,7.441037849129931,0.033017871286755686,3.254611541868212,0.8174834178363479,OVERNIGHT,396
DelCOA,0.1461349512051695,6.4189031118503,-0.08362095540471957,-7.221816045776303,0.6360443714437225,OVERNIGHT,396
DelCOL,0.1392398412681528,6.622368628199943,-0.11052031418827513,-10.326206831777103,0.5574942128527142,MIXED,396
MomSeason06YrPlus,0.13007230401502679,5.412501109684352,0.06951794416159886,6.632370229663561,0.6516966896094064,OVERNIGHT,396
Investment,0.12978036888372868,7.055636459122053,0.038976874613279,4.309431246176265,0.7690358422216697,OVERNIGHT,396
MomSeason11YrPlus,0.10571818239047129,5.228861651146673,0.033529573221508166,3.6252007307128693,0.7592092377062082,OVERNIGHT,396
Accruals,0.10228607646410409,4.344917949401878,0.027715295358611915,2.6019719426109167,0.7868076700266863,OVERNIGHT,396
GrSaleToGrInv,0.09393106971073595,5.480939695166777,-0.012619211785098183,-1.7572603635172268,0.8815656645112517,OVERNIGHT,396
dCPVolSpread,0.09382699034086549,4.613133093968332,0.21450290621473578,18.101170688447727,0.30430714435745815,INTRADAY,323
Governance,0.09057383174004743,2.506944756214271,0.02909531426919288,1.7250155686277975,0.7568687064337681,OVERNIGHT,181
MomSeason16YrPlus,0.09042094395436351,4.541495354297619,0.01804672881843834,1.7705949234323906,0.8336211300832524,OVERNIGHT,396
CPVolSpread,0.08051470340084634,3.256771589183827,-0.12332207648327093,-9.509784606930584,0.3949959543445473,INTRADAY,324
BMdec,0.07645790285966707,2.5184664124695044,0.2367512311816879,12.11612424725497,0.24411134462500017,INTRADAY,396
grcapx,0.075201595191987,4.132170982690734,-0.02350108691930225,-2.4900592656875067,0.761900219765008,OVERNIGHT,396
PredictedFE,0.0747815106070239,1.844082354970742,-0.0986380185630562,-4.767822204123512,0.4312173546134035,MIXED,396
TrendFactor,0.07068745292058344,1.0965492968315405,-0.41115905518285073,-10.24364651901988,0.14670118332664045,INTRADAY,396
InvGrowth,0.06815730557722208,2.856658040556824,-0.11034598188434384,-9.48510334536187,0.38182661253170047,INTRADAY,396
RDAbility,0.060764006332222925,1.1620181798029938,-0.005274147511460776,-0.23625148062276372,0.92013484320072,MIXED,396
ChInv,0.04857047479195398,3.5398268504821755,-0.04756000106254871,-5.883679887913049,0.505255740806561,MIXED,389
AbnormalAccruals,0.028413266097765667,1.8116511367891606,0.08840280523458453,10.517472255555202,0.24323079670200398,INTRADAY,396
ChNWC,0.017392153885532148,1.1079530532998447,0.015466718152440263,2.103054158742052,0.5292985670790344,MIXED,396
zerotrade12M,0.014516328090157803,0.2723924944322678,0.4834316023294452,16.621633901688732,0.029152301281632823,INTRADAY,396
Activism1,-0.014674728196331534,-0.33308546213419343,-0.04081849745485784,-2.0366148520398952,0.26444179490613223,INTRADAY,181
BM,-0.02152455976726918,-0.6300078589287526,0.20196371141107194,8.190642379299659,0.09631180935706833,INTRADAY,396
SmileSlope,-0.022461398086361613,-0.9207355530959437,0.2354246179192373,14.633911708994614,0.08709816233647176,INTRADAY,324
ExclExp,-0.026057534684898118,-1.4285441351248238,0.008507986963483052,1.0858351655600766,0.7538591475623944,MIXED,394
BetaLiquidityPS,-0.02607294679464526,-0.7883161796160498,-0.04220777640907756,-2.1717861119742943,0.3818493063826205,INTRADAY,396
ChNNCOA,-0.06913703278681291,-4.451853143676294,0.004326274092244484,0.5647306241334006,0.9411097284339947,OVERNIGHT,396
betaVIX,-0.08841057953511727,-3.519022101777204,-0.02323844661031418,-1.0423296326335456,0.7918616273459983,OVERNIGHT,396
GrAdExp,-0.0968884648063052,-3.409181157488739,-0.08656525701869051,-6.845057598122441,0.5281357273238164,MIXED,396
BetaTailRisk,-0.11198542846937881,-2.097515836326803,-0.18158006567844312,-6.857742094555139,0.38146659161852886,INTRADAY,396
fgr5yrLag,-0.11358513785311974,-2.2997361022997045,-0.14980382240022674,-5.745252779738848,0.4312448697313106,MIXED,396
zerotrade6M,-0.11910460043894214,-2.0524185086489743,0.5051364869231681,17.385724568224465,0.19079904038718273,INTRADAY,396
BPEBM,-0.12548761914799578,-3.9456429537619333,-0.05552714422937334,-3.3378244772547965,0.6932452182719839,OVERNIGHT,396
DelFINL,-0.13658451256967793,-9.624778450938878,-0.11994417411536537,-14.681194582446505,0.5324336795805277,MIXED,396
NetDebtFinance,-0.15832416049783504,-9.945869576671077,-0.12504635924027913,-15.635137976725114,0.5587178251434035,MIXED,396
skew1,-0.18231756636867377,-6.364580587725557,0.17330417176663643,10.846353804086315,0.5126727272765984,MIXED,324
PayoutYield,-0.18513963943694453,-6.61564900008878,0.02281501004961413,1.792693669708907,0.8902885311487647,OVERNIGHT,396
GrLTNOA,-0.1960511405408494,-9.923740117686984,-0.022753056591110737,-2.53220050207656,0.8960117909557811,OVERNIGHT,396
Cash,-0.22095286440315814,-3.866048645453353,-0.2104863337974041,-7.929994560710547,0.512129786363186,MIXED,396
MeanRankRevGrowth,-0.2383762227852953,-14.281136802951979,0.04074872710251484,3.416474361376964,0.8540125950084607,OVERNIGHT,396
tang,-0.25348250165185354,-5.607356058441303,-0.23371387288597645,-11.130876784956593,0.5202881525797788,MIXED,396
EP,-0.2610605277408349,-8.594302612310459,0.02968777821765215,1.8331875479014867,0.8978918273666883,OVERNIGHT,396
VolSD,-0.29994651135512085,-5.663110086517389,-0.43824137105481764,-17.75644075919098,0.4063281428786057,MIXED,396
dVolPut,-0.304192608635548,-9.073398578556189,-0.38486984702498506,-14.281624041883147,0.44145868946516603,MIXED,323
zerotrade1M,-0.32138822469941053,-5.631806004088893,0.48172772953128007,16.890309071808016,0.40017661585028547,MIXED,396
dVolCall,-0.39755059432647566,-12.30872256769134,-0.5913606377244067,-18.54732705452776,0.40200837187580907,MIXED,323
OPLeverage,-0.411042420679567,-10.898718128228843,-0.08475512018503772,-4.820625541570889,0.8290529637617079,OVERNIGHT,396
PctAcc,-0.42482739023364646,-18.32896276772883,-0.17901241852522307,-17.897472265542675,0.703543198165148,OVERNIGHT,396
CoskewACX,-0.43312802173799103,-11.264582225798828,0.004392420329344905,0.1999054666619852,0.9899606511901703,OVERNIGHT,396
RDS,-0.43717940092780405,-17.13789685911186,-0.09991433554644402,-7.802661651783894,0.8139722570545476,OVERNIGHT,396
PriceDelaySlope,-0.43942089021390296,-18.832008278346112,-0.047017840267538746,-3.7650853386031424,0.903342728855073,OVERNIGHT,391
PriceDelayTstat,-0.4400135909985023,-18.819478156856107,-0.04608908851313023,-3.696138146156529,0.9051865162326732,OVERNIGHT,391
CompEquIss,-0.4905402271477417,-9.590378544049091,-0.049682530273126094,-2.5847070029644383,0.908033251856474,OVERNIGHT,396
OrgCap,-0.5240917424887657,-16.63533419339434,-0.011050856105585807,-0.5980838384938902,0.9793496983147802,OVERNIGHT,396
SP,-0.6788767836026768,-11.164712197870047,0.04673088391665273,1.7817069991721282,0.935597588051386,OVERNIGHT,396
ForecastDispersion,-0.6824249837194779,-13.884450369708645,-0.3471207063974519,-14.841562441364688,0.6628408921239544,OVERNIGHT,395
Leverage,-0.7054918564014963,-13.086897158553253,-0.11949185602716893,-4.112919345366349,0.8551585270994048,OVERNIGHT,396
PriceDelayRsq,-0.7259273490966969,-19.893518316254703,-0.06156594752382299,-2.7776517648071217,0.9218203535343988,OVERNIGHT,391
NetEquityFinance,-0.8087911479978679,-16.034485603864233,-0.44463629832291574,-19.232074338963322,0.6452636332257862,OVERNIGHT,396
EarningsForecastDisparity,-0.8529961078938473,-19.701566498967797,-0.11272167275828548,-6.775135948816601,0.8832767967861518,OVERNIGHT,395
ShareIss1Y,-0.880777514208695,-15.889746240211103,-0.5780954263784256,-25.366822554637732,0.6037383309434938,OVERNIGHT,396
ShareIss5Y,-0.8965314507678825,-18.448003369077796,-0.46955739520225004,-23.361992539031252,0.6562760931784108,OVERNIGHT,396
XFIN,-0.919825038897669,-16.929317174843906,-0.5883895079679196,-23.866526671984243,0.6098767849768283,OVERNIGHT,396
VolMkt,-0.9278750226728869,-14.837907490038097,-0.8286386126627474,-22.765885616781667,0.5282481183219445,MIXED,396
MaxRet,-0.9364045511608436,-11.648992967234063,-0.15183010208646774,-4.403755372806489,0.8604803645671418,OVERNIGHT,396
EquityDuration,-0.9528037210113038,-17.151585188890742,-0.4680589071593467,-19.716027700405952,0.6705811681724863,OVERNIGHT,396
EBM,-0.9757854523622267,-23.473290516570806,-0.16959361758079736,-10.323208407305753,0.8519323235151891,OVERNIGHT,396
AdExp,-1.0525409313854672,-19.63831313392323,-0.3231881192456053,-13.109347529877862,0.7650786547704631,OVERNIGHT,396
std_turn,-1.104634491193351,-14.78902787728807,-0.6019615584541314,-20.40725365752863,0.6472735545248252,OVERNIGHT,396
AM,-1.1265347950481277,-18.291616179833433,-0.22392609739330116,-7.136755525102767,0.8341854261410883,OVERNIGHT,396
Illiquidity,-1.1876861066906246,-24.26627107338275,-0.030305783074416226,-1.244383251765036,0.9751182390218851,OVERNIGHT,396
RD,-1.307227399834363,-16.412363132949345,-0.5576468142124545,-16.19339487028303,0.7009734972943034,OVERNIGHT,396
